isbn,avg_rating,ratings_count,reviews_count
9780698185395,3.92,2078549,109889
9781476746586,4.33,1003524,74999
9780525431886,3.84,736764,29076
9781628995015,4.58,678152,63280
9781440697661,4.47,2138643,84467
9781476738024,4.36,554578,63904
9781449478650,4.08,334569,27647
9780553897845,4.45,1980106,54283
9780399587207,4.27,735056,45529
9780425284698,4.37,361303,30854
9781501132940,3.70,362483,28699
9780735224292,4.10,681700,51457
9780307272119,4.14,2580025,68460
9783125776920,4.11,1434340,69767
9781101967683,3.85,75949,5866
9781455520664,4.15,111255,9814
9780307887436,4.26,845035,86539
9781524797157,3.75,95244,8490
9780385674676,4.23,811247,45165
9780425274873,4.18,450688,18107
9780385542692,3.86,251466,23803
9781101883068,4.29,206009,17991
9781449488895,4.16,136560,10244
9780525563334,4.11,113846,6484
9781451627305,4.31,414167,37623
9781429960274,4.35,111364,13162
9781622669035,3.81,105061,4255
9781250165619,4.34,361570,36450
9780385537049,4.03,282811,24480
9780345544964,4.34,260165,25131
9781455520701,3.92,66527,5807
9781784752460,3.31,229023,29477
9781455520596,3.96,67620,5714
9780446573047,4.10,52990,3120
9781501142970,4.24,788473,25052
9780062678447,3.94,436191,41125
9781455586486,4.20,68298,4293
9780399593482,4.07,61148,4336
9780385541183,3.62,72346,6483
9780735211216,3.57,274199,23392
9780964729292,3.78,532778,32991
9781429960236,3.99,147740,11938
9780593237960,3.99,259246,20836
9780973398472,3.78,63,15
9780553391879,3.59,18427,1714
9781455586554,4.16,54679,3478
9781447225362,4.16,45348,2900
9781101987605,4.20,61063,5002
9780062414236,3.42,153146,14223
9780804178815,3.97,54078,3739
9780316407168,4.04,18761,1174
9781509859702,4.16,41558,2682
9780857055323,3.77,136340,13007
9780385534130,3.85,60453,5979
9781611132168,4.03,30165,1686
9780399170867,4.00,33724,2800
9781455586493,4.18,36323,2141
9780385543910,4.09,34214,2559
9781455589005,4.00,151296,7657
9780451478009,4.20,67850,5349
9781250069818,3.57,231733,19476
9780751542981,3.94,143310,10509
9780857502667,3.95,58671,3881
9780316210942,4.17,23272,1766
9780142196724,4.12,75102,9098
9781455521203,4.08,43942,2665
9781455544967,4.09,54795,3182
9780316127233,4.01,34313,2620
9781250066633,3.94,39600,4006
9781250130938,3.84,215618,21492
9781616207601,3.96,249322,22073
9781455586639,4.15,34433,2163
9780345543011,3.82,41406,3924
9780812998610,3.48,161586,16551
9781501127878,3.92,46288,4998
9780307351937,4.01,434030,25428
9780316210690,3.89,22155,1636
9780345527707,3.96,73936,5170
9781101621219,4.02,34762,2565
9780446573078,4.14,43788,1942
9780316069380,4.19,56706,3103
9780399594977,4.05,60233,4203
9780316407045,4.23,23476,1869
9781476770383,3.78,98344,10673
9780451494337,3.77,61836,5145
9780316225977,4.05,57356,5073
9780316225953,4.33,55861,3999
9780316069397,4.17,53168,2997
9780316476676,4.26,46393,3445
9780316211284,4.02,33736,2265
9780316295291,4.56,18,3
9781455554188,4.13,13585,1130
9780316097550,4.02,21238,1456
9781476715667,4.30,43940,2037
9781481251884,4.29,264516,21462
9781476754451,3.97,235432,16602
9781455521227,4.10,28509,1898
9780385350082,3.83,42860,5408
9780316210928,4.08,20671,1878
